target,source,o_name,d_name,non_norm_flow,population origin,flow,the_geom,,,,
HB,NI,Bremen,Niedersachsen,12194,660706,0.018456015,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,NW,Bremen,Nordrhein-Westfalen,2191,660706,0.00331615,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,HE,Bremen,Hessen,709,660706,0.001073095,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,RP,Bremen,Rheinland-Pfalz,307,660706,0.000464654,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,BW,Bremen,Baden-W�rttemberg,749,660706,0.001133636,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,BY,Bremen,Bayern,814,660706,0.001232015,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,SL,Bremen,Saarland,55,660706,8.32443E-05,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,BE,Bremen,Berlin,1105,660706,0.001672453,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,BB,Bremen,Brandenburg,208,660706,0.000314815,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,MV,Bremen,Mecklenburg-Vorpommern,127,660706,0.000192219,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,SN,Bremen,Sachsen,299,660706,0.000452546,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,ST,Bremen,Sachsen-Anhalt,192,660706,0.000290598,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,TH,Bremen,Th�ringen,124,660706,0.000187678,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
NW,SH,Nordrhein-Westfalen,Schleswig-Holstein,6882,17845154,0.000385651,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,HH,Nordrhein-Westfalen,Hamburg,6928,17845154,0.000388229,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,NI,Nordrhein-Westfalen,Niedersachsen,30621,17845154,0.001715928,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,HB,Nordrhein-Westfalen,Bremen,2402,17845154,0.000134602,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,HE,Nordrhein-Westfalen,Hessen,18911,17845154,0.001059727,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,RP,Nordrhein-Westfalen,Rheinland-Pfalz,17039,17845154,0.000954825,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,BW,Nordrhein-Westfalen,Baden-W�rttemberg,19045,17845154,0.001067237,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,BY,Nordrhein-Westfalen,Bayern,19285,17845154,0.001080686,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,SL,Nordrhein-Westfalen,Saarland,1556,17845154,8.71945E-05,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,BE,Nordrhein-Westfalen,Berlin,11153,17845154,0.000624988,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,BB,Nordrhein-Westfalen,Brandenburg,3134,17845154,0.000175622,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,MV,Nordrhein-Westfalen,Mecklenburg-Vorpommern,799,17845154,4.47741E-05,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,SN,Nordrhein-Westfalen,Sachsen,4476,17845154,0.000250824,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,ST,Nordrhein-Westfalen,Sachsen-Anhalt,2799,17845154,0.000156849,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
NW,TH,Nordrhein-Westfalen,Th�ringen,2425,17845154,0.000135891,0101000020E61000002E86B5BA16371E404237D1259EBC4940,,,,
HE,SH,Hessen,Schleswig-Holstein,2311,6067021,0.000380912,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,HH,Hessen,Hamburg,2657,6067021,0.000437941,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,NI,Hessen,Niedersachsen,7668,6067021,0.001263882,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,HB,Hessen,Bremen,711,6067021,0.000117191,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,NW,Hessen,Nordrhein-Westfalen,18032,6067021,0.002972134,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,RP,Hessen,Rheinland-Pfalz,13857,6067021,0.002283987,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,BW,Hessen,Baden-W�rttemberg,15094,6067021,0.002487877,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,BY,Hessen,Bayern,14194,6067021,0.002339534,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,SL,Hessen,Saarland,924,6067021,0.000152299,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,BE,Hessen,Berlin,5047,6067021,0.000831874,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,BB,Hessen,Brandenburg,1217,6067021,0.000200593,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,MV,Hessen,Mecklenburg-Vorpommern,288,6067021,4.74698E-05,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,SN,Hessen,Sachsen,2498,6067021,0.000411734,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,ST,Hessen,Sachsen-Anhalt,1298,6067021,0.000213944,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
HE,TH,Hessen,Th�ringen,2382,6067021,0.000392614,0101000020E610000033A9569787122240ECFD3D9CF94C4940,,,,
RP,SH,Rheinland-Pfalz,Schleswig-Holstein,1030,4003745,0.000257259,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,HH,Rheinland-Pfalz,Hamburg,867,4003745,0.000216547,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,NI,Rheinland-Pfalz,Niedersachsen,3026,4003745,0.000755792,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,HB,Rheinland-Pfalz,Bremen,327,4003745,8.16735E-05,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,NW,Rheinland-Pfalz,Nordrhein-Westfalen,18328,4003745,0.004577714,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,HE,Rheinland-Pfalz,Hessen,14568,4003745,0.003638593,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,BW,Rheinland-Pfalz,Baden-W�rttemberg,14307,4003745,0.003573404,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,BY,Rheinland-Pfalz,Bayern,5462,4003745,0.001364223,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,SL,Rheinland-Pfalz,Saarland,4398,4003745,0.001098472,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,BE,Rheinland-Pfalz,Berlin,2170,4003745,0.000541993,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,BB,Rheinland-Pfalz,Brandenburg,677,4003745,0.000169092,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,MV,Rheinland-Pfalz,Mecklenburg-Vorpommern,175,4003745,4.37091E-05,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,SN,Rheinland-Pfalz,Sachsen,1210,4003745,0.000302217,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,ST,Rheinland-Pfalz,Sachsen-Anhalt,609,4003745,0.000152108,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
RP,TH,Rheinland-Pfalz,Th�ringen,628,4003745,0.000156853,0101000020E61000003D341FF879C61D405BF9D60E09F44840,,,,
